id,bug.id,treatment,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,suc.ovp,date.3,mass.3,date.in.hs,time.in.hs,time.hs,tths1.ovp,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,num.unem,load,date.end,mass.end,mongo.age,mongo.mass,instar.end,diss.wasp,diss.wasp.stage,mel,wand,pup,gen.notes,diss.notes
14,25.10_para_40.1_14,para,25,10,40,1,2/15/18,1/28/18,2/2/18,10:51,1,,2/2/18,46.57,2/2/18,10:52,13:00,2:09,2/2/18,19:10,2/5/18,187.54,2/9/18,1092.48,,,,,0,,,,,,0,,,,,,,,,,,mass 4  and 5 taken in pm. frozen after death in the 5th instar for dissection,
15,25.10_para_42.1_15,para,25,10,42,1,,1/28/18,2/2/18,11:06,1,,2/2/18,43.6,2/2/18,11:07,13:00,1:54,2/2/18,19:10,2/5/18,237.83,2/8/18,794.59,,,,,0,,,,,,0,2/22/18,2410.47,1,0,5,,,,,,mass 4 taken in pm. mass 5 taken in pm,
16,25.10_para_40.2_16,para,25,10,40,2,,1/28/18,2/2/18,11:22,2,,2/2/18,53.21,2/2/18,11:24,13:00,1:38,2/3/18,18:05,2/5/18,305.93,2/9/18,1446.97,2/17/18,5,0,2164.84,1,0,1,,,,1,,,,,,1,all,0,,,mass 4 and 5 taken in pm,"half of wasp larvae were large seconds that looked ready to emerge, others were firsts--one small, one large. No obvious mel"
17,25.10_para_42.2_17,para,25,10,42,2,,1/28/18,2/2/18,11:35,1,,2/2/18,51.68,2/2/18,11:36,13:00,1:25,2/3/18,18:05,2/5/18,251.29,2/9/18,1221.92,,,,,0,,,,,,0,2/23/18,13272.04,1,0,5,,,,,,mass 4 and 5 taken in pm,
18,25.10_para_40.3_18,para,25,10,40,3,,1/28/18,2/2/18,11:46,1,,2/2/18,73.8,2/2/18,11:49,13:00,1:14,2/4/18,19:30,2/5/18,274.57,2/9/18,1442.58,,,,,0,,,,,,0,2/23/18,7236.48,1,0,5,,,,,,mass 4 and 5 taken in pm. removed head capsule after molt to 5th,
19,25.10_para_42.3_19,para,25,10,42,3,2/4/18,1/28/18,2/2/18,12:05,1,,2/2/18,35.71,2/2/18,12:08,13:00,0:55,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
20,25.10_para_40.4_20,para,25,10,40,4,2/14/18,1/28/18,2/2/18,12:20,1,,2/2/18,60.37,2/2/18,12:22,13:00,0:40,2/5/18,19:20,2/6/18,133.08,,,,,,,0,,,,,,0,,,,,,,,,,,mass 4 taken in pm,
21,25.10_para_42.4_21,para,25,10,42,4,,1/28/18,2/2/18,12:32,1,,2/2/18,64.68,2/2/18,12:35,13:00,0:28,2/5/18,19:20,2/5/18,248.97,2/9/18,1638.18,,,,,0,,,,,,0,2/23/18,18960.33,1,1,5,,,,,,mass 5 taken in pm,
22,25.10_para_40.1_22,para,25,10,40,1,,1/28/18,2/2/18,10:50,1,,2/2/18,68.37,2/2/18,10:52,13:00,2:10,2/2/18,19:10,2/5/18,219.49,2/11/18,974.14,2/21/18,5,1,1297.01,1,0,1,,,,1,,,,,,1,1,0.5,,,mass 4 taken in pm. bled heavily at wasp emergence,"wasp larvae were all early or late firsts, as far as I could tell. None that looked ready to emerge. maybe a few mel plaques"
23,25.10_para_42.1_23,para,25,10,42,1,,1/28/18,2/2/18,11:05,2,,2/2/18,71.1,2/2/18,11:07,13:00,1:55,2/2/18,19:10,2/6/18,147.61,2/11/18,589.26,,,,,0,,,,,,0,2/25/18,1149.45,1,0,5,,,,,,mass 4 taken in pm. removed cuticle from 5th prolegs after molt to 5th,
24,25.10_para_40.2_24,para,25,10,40,2,,1/28/18,2/2/18,11:21,3,,2/2/18,36.56,2/2/18,11:24,13:00,1:39,2/3/18,18:05,2/5/18,192.83,2/9/18,826.58,2/16/18,5,0,1506.13,4,1,3,,,,4,,,,,,,,,,,mass 4 and 5 taken in pm. no wasp eclosion after 4 weeks,
25,25.10_para_42.2_25,para,25,10,42,2,,1/28/18,2/2/18,11:34,1,,2/2/18,49.73,2/2/18,11:36,13:00,1:26,2/3/18,18:05,2/6/18,238.43,2/11/18,1310.57,,,,,0,,,,,,0,2/25/18,10707.35,1,0,5,,,,,,mass 4 taken in pm,
26,25.10_para_40.3_26,para,25,10,40,3,,1/28/18,2/2/18,11:45,1,,2/2/18,60.75,2/2/18,11:49,13:00,1:15,2/4/18,19:30,2/5/18,87.45,2/11/18,558.6,,,,,0,,,,,,0,,,,,,,,,1,1,"mass 4 taken in pm. molted to 6th instar 2/16/18. Mass: 2473.42, wandered 2/23/18. Mass:14094.62. put in puation box. pupated 3/1/18. frozen as pupa for dissection",
27,25.10_para_42.3_27,para,25,10,42,3,2/4/18,1/28/18,2/2/18,12:04,1,,2/2/18,46.98,2/2/18,12:08,13:00,0:56,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
28,25.10_para_40.4_28,para,25,10,40,4,2/12/18,1/28/18,2/2/18,12:19,2,,2/2/18,43.85,2/2/18,12:22,13:00,0:41,2/5/18,19:20,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
29,25.10_para_42.4_29,para,25,10,42,4,,1/28/18,2/2/18,12:31,1,,2/2/18,68.76,2/2/18,12:35,13:00,0:29,2/5/18,19:20,2/5/18,177.59,2/9/18,640.31,,,,,0,,,,,,0,2/23/18,8899.95,1,0,5,,,,,,mass 4 and 5 taken in pm,
30,25.10_para_0.0_30,para,25,10,0,0,,1/28/18,2/2/18,13:14,1,,2/2/18,77.85,,,,,,,2/6/18,230.19,,,2/15/18,4,0,886.35,7,7,0,2/21/18,7,,7,,,,,,,,,,,"mass 4 taken in pm. tight head capsule at wasp emergence, looks like its going to molt, keeping for observation instead of freezing. On 2/19/18 bug did molt, not very well, froze on 2/19/18.",
31,25.10_para_40.1_31,para,25,10,40,1,,1/28/18,2/2/18,10:49,1,,2/2/18,39.88,2/2/18,10:52,13:00,2:11,2/2/18,19:10,2/6/18,265.13,2/11/18,1002.17,2/16/18,5,0,1886.98,18,15,3,2/22/18,14,,18,,,,,,,,,,,mass 4 taken in pm,
32,25.10_para_42.1_32,para,25,10,42,1,2/4/18,1/28/18,2/2/18,11:03,1,,2/2/18,55.99,2/2/18,11:07,13:00,1:57,2/2/18,19:10,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
33,25.10_para_40.2_33,para,25,10,40,2,,1/28/18,2/2/18,11:19,2,,2/2/18,76.55,2/2/18,11:24,13:00,1:41,2/3/18,18:05,2/6/18,143.38,2/12/18,477.06,2/16/18,5,0,843.95,23,16,7,2/22/18,14,,23,,,,,,,,,,,mass 4 taken in pm,
34,25.10_para_42.2_34,para,25,10,42,2,,1/28/18,2/2/18,11:32,1,,2/2/18,43.41,2/2/18,11:36,13:00,1:28,2/3/18,18:05,2/5/18,241.78,2/8/18,1298.73,,,,,0,,,,,,0,,,,,,,,,1,1,mass 5 taken in pm. wandered 2/14/18--put in pupa box to see if it pupates. pupated 2/20/18.. frozen as pupa for dissecton,
35,25.10_para_40.3_35,para,25,10,40,3,,1/28/18,2/2/18,11:44,1,,2/2/18,52.93,2/2/18,11:49,13:00,1:16,2/4/18,19:30,2/5/18,213.29,2/11/18,1618.69,,,,,0,,,,,,0,2/25/18,4849.89,1,0,5,,,,,,mass 4 taken in pm,
36,25.10_para_42.3_36,para,25,10,42,3,,1/28/18,2/2/18,12:02,1,,2/2/18,36.2,2/2/18,12:08,13:00,0:58,2/4/18,19:30,2/6/18,225.05,2/11/18,2192.31,,,,,0,,,,,,0,2/25/18,13919.83,1,0,5,,,,,,mass 4 taken in pm,
37,25.10_para_40.4_37,para,25,10,40,4,2/13/18,1/28/18,2/2/18,12:16,1,,2/2/18,42.74,2/2/18,12:22,13:00,0:44,2/5/18,19:20,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
38,25.10_para_42.4_38,para,25,10,42,4,,1/28/18,2/2/18,12:30,1,,2/2/18,61.08,2/2/18,12:35,13:00,0:30,2/5/18,19:20,2/5/18,290.08,2/9/18,1274.89,,,,,0,,,,,,0,2/23/18,16073.54,1,1,5,,,,,,mass 4 taken in pm,
39,25.10_para_40.1_39,para,25,10,40,1,2/4/18,1/28/18,2/2/18,10:47,1,,2/2/18,57.39,2/2/18,10:52,13:00,2:13,2/2/18,19:10,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
40,25.10_para_42.1_40,para,25,10,42,1,,1/28/18,2/2/18,11:01,1,,2/2/18,55.72,2/2/18,11:07,13:00,1:59,2/2/18,19:10,2/6/18,302.05,2/11/18,1401.94,,,,,0,,,,,,0,2/25/18,2572.94,1,0,5,,,,,,horn bled at ovp. mass 4 taken in pm,
41,25.10_para_40.2_41,para,25,10,40,2,,1/28/18,2/2/18,11:18,1,,2/2/18,29.88,2/2/18,11:24,13:00,1:42,2/3/18,18:05,2/7/18,117.33,2/11/18,448.51,2/16/18,5,0,1042.89,21,21,0,2/22/18,21,,21,,,,,,,,,,,mass 4 taken in pm,
42,25.10_para_42.2_42,para,25,10,42,2,,1/28/18,2/2/18,11:32,1,,2/2/18,44.93,2/2/18,11:36,13:00,1:28,2/3/18,18:05,2/7/18,134.04,2/12/18,677.71,,,,,0,,,,,,0,,,,,,,,,1,1,"mass 4 taken in pm. wandered 2/20/18, weight = 6145.24, put in pupation box to see if it pupates. pupated 2/28/18. frozen as pupa for dissecton",
43,25.10_para_40.3_43,para,25,10,40,3,,1/28/18,2/2/18,11:43,1,,2/2/18,56.94,2/2/18,11:49,13:00,1:17,2/4/18,19:30,2/5/18,278.95,2/9/18,1295.82,,,,,0,,,,,,0,2/23/18,8974.76,1,0,5,,,,,,mass 4 and 5 taken in pm,
44,25.10_para_42.3_44,para,25,10,42,3,2/4/18,1/28/18,2/2/18,12:01,2,,2/2/18,39.04,2/2/18,12:08,13:00,0:59,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
45,25.10_para_40.4_45,para,25,10,40,4,2/23/18,1/28/18,2/2/18,12:15,1,,2/2/18,63.42,2/2/18,12:22,13:00,0:45,2/5/18,19:20,2/5/18,246.47,2/10/18,1166.65,,,,,0,,,,,,0,,,,,,,,,,,mass 4 taken in pm,
46,25.10_para_42.4_46,para,25,10,42,4,,1/28/18,2/2/18,12:29,1,,2/2/18,64.43,2/2/18,12:35,13:00,0:31,2/5/18,19:20,2/6/18,142.2,2/12/18,608.49,,,,,0,,,,,,0,2/26/18,13933.58,1,0,6,,,,,,"mass 4 and 5 taken in pm. molted into 6th instar 2/20/18, weight = 3439.91",
47,25.10_para_40.1_47,para,25,10,40,1,,1/28/18,2/2/18,10:46,1,,2/2/18,53.29,2/2/18,10:52,13:00,2:14,2/2/18,19:10,2/5/18,260.29,2/9/18,1059.37,2/15/18,5,0,2598.82,4,4,0,2/22/18,4,75,79,,,,,,1,all,1,,,mass 4 and 5 taken in pm,"found wasp larvae from young 1sts through to 2nds that look ready to emerge. Also found some melanized plaques. some larvae had mel on them, and seemed maybe entangled in tissues. many larvae looked small and shrunken"
48,25.10_para_42.1_48,para,25,10,42,1,2/4/18,1/28/18,2/2/18,11:00,1,,2/2/18,55.44,2/2/18,11:07,13:00,2:00,2/2/18,19:10,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
49,25.10_para_40.2_49,para,25,10,40,2,,1/28/18,2/2/18,11:17,1,,2/2/18,79.02,2/2/18,11:24,13:00,1:43,2/3/18,18:05,2/6/18,168.87,2/11/18,616.14,,,,,0,,,,,,0,2/25/18,1323.88,1,0,5,,,,,,mass 4 taken in pm,
50,25.10_para_42.2_50,para,25,10,42,2,2/4/18,1/28/18,2/2/18,11:31,2,,2/2/18,42.5,2/2/18,11:36,13:00,1:29,2/3/18,18:05,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
51,25.10_para_40.3_51,para,25,10,40,3,,1/28/18,2/2/18,11:42,1,,2/2/18,43.72,2/2/18,11:49,13:00,1:18,2/4/18,19:30,2/5/18,238.82,2/9/18,1350.25,,,,,0,,,,,,0,2/23/18,16796.23,1,1,5,,,,,,mass 4 and 5 taken in pm,
52,25.10_para_42.3_52,para,25,10,42,3,,1/28/18,2/2/18,12:00,2,,2/2/18,59.45,2/2/18,12:08,13:00,1:00,2/4/18,19:30,2/5/18,269.18,2/9/18,1335.21,,,,,0,,,,,,0,2/23/18,15976.06,1,1,5,,,,,,mass 4 and 5 taken in pm,
53,25.10_para_40.4_53,para,25,10,40,4,,1/28/18,2/2/18,12:14,1,,2/2/18,48.98,2/2/18,12:22,13:00,0:46,2/5/18,19:20,2/5/18,335.79,2/9/18,1328.18,,,,,0,,,,,,0,2/23/18,10715.01,1,0,5,,,,,,mass 4 and 5 taken in pm,
54,25.10_para_42.4_54,para,25,10,42,4,,1/28/18,2/2/18,12:28,1,,2/2/18,53.98,2/2/18,12:35,13:00,0:32,2/5/18,19:20,2/5/18,180.77,2/9/18,1259.02,,,,,0,,,,,,0,2/23/18,15428.34,1,1,5,,,,,,mass 5 taken in pm,
55,25.10_para_40.1_55,para,25,10,40,1,,1/28/18,2/2/18,10:45,1,,2/2/18,47.51,2/2/18,10:52,13:00,2:15,2/2/18,19:10,2/6/18,198.34,2/11/18,1000.34,2/16/18,5,0,2168.99,38,33,5,2/21/18,30,,38,,,,,,1,all,1,,,mass 4 taken in pm,"wasp larvae a mix from small 1sts to 2nds that looked ready to emerge. Lots of mel plaque in tissues--unclear what was mel eggs, and what was from wasp em--also sat out a bit too long before dissecting"
56,25.10_para_42.1_56,para,25,10,42,1,2/5/18,1/28/18,2/2/18,10:59,2,,2/2/18,35.65,2/2/18,11:07,13:00,2:01,2/2/18,19:10,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
57,25.10_para_40.2_57,para,25,10,40,2,,1/28/18,2/2/18,11:16,1,,2/2/18,66.03,2/2/18,11:24,13:00,1:44,2/3/18,18:05,2/7/18,127.05,2/13/18,431.35,,,,,0,,,,,,0,3/7/18,12193.29,1,0,6,,,,,,"mass 4 and 5 taken in pm. molted into 6th instar 2/21/18, weight = 1390.09",
58,25.10_para_42.2_58,para,25,10,42,2,,1/28/18,2/2/18,11:30,1,,2/2/18,72.98,2/2/18,11:36,13:00,1:30,2/3/18,18:05,2/5/18,296.6,2/9/18,1497.31,,,,,0,,,,,,0,2/23/18,11566.77,1,0,5,,,,,,mass 4 and 5 taken in pm,
59,25.10_para_40.3_59,para,25,10,40,3,,1/28/18,2/2/18,11:41,1,,2/2/18,78.16,2/2/18,11:49,13:00,1:19,2/4/18,19:30,2/5/18,344.13,2/10/18,1809.95,,,,,0,,,,,,0,2/24/18,10744.65,1,0,5,,,,,,mass 4 taken in pm,
60,25.10_para_42.3_60,para,25,10,42,3,,1/28/18,2/2/18,11:56,1,,2/2/18,77.1,2/2/18,12:08,13:00,1:04,2/4/18,19:30,2/5/18,138.83,2/9/18,692.33,,,,,0,,,,,,0,2/23/18,11767.96,1,0,5,,,,,,mass 4 and 5 taken in pm,
61,25.10_para_40.4_61,para,25,10,40,4,,1/28/18,2/2/18,12:12,1,,2/2/18,51.65,2/2/18,12:22,13:00,0:48,2/5/18,19:20,2/6/18,121,2/11/18,431.84,,,,,0,,,,,,0,2/25/18,781.73,1,0,5,,,,,,mass 4 taken in pm,
62,25.10_para_42.4_62,para,25,10,42,4,,1/28/18,2/2/18,12:27,1,,2/2/18,75.32,2/2/18,12:35,13:00,0:33,2/5/18,19:20,2/5/18,388.67,2/9/18,1436.65,,,,,0,,,,,,0,2/23/18,14074.79,1,1,5,,,,,,mass 4 and 5 taken in pm,
63,25.10_para_40.1_63,para,25,10,40,1,,1/28/18,2/2/18,10:45,1,,2/2/18,56.22,2/2/18,10:52,13:00,2:15,2/2/18,19:10,2/6/18,373.72,2/11/18,1226.78,2/16/18,5,0,2504.1,24,21,3,2/22/18,18,,24,,,,,,,,,,,mass 4 taken in pm,
64,25.10_para_42.1_64,para,25,10,42,1,,1/28/18,2/2/18,10:57,1,,2/2/18,47.38,2/2/18,11:07,13:00,2:03,2/2/18,19:10,2/6/18,171.47,2/11/18,725.4,,,,,0,,,,,,0,2/25/18,1426.88,1,0,5,,,,,,mass 4 taken in pm. cuticle removed from 5th prolegs after molt to 4th and 5th. bled during molt to 4th.,
65,25.10_para_40.2_65,para,25,10,40,2,,1/28/18,2/2/18,11:14,2,,2/2/18,44.28,2/2/18,11:24,13:00,1:46,2/3/18,18:05,2/6/18,312.84,2/11/18,1112.85,,,,,0,,,,,,0,2/25/18,1961.33,1,0,5,,,,,,mass 4 taken in pm,
66,25.10_para_42.2_66,para,25,10,42,2,,1/28/18,2/2/18,11:28,1,,2/2/18,46.35,2/2/18,11:36,13:00,1:32,2/3/18,18:05,2/6/18,241.49,2/11/18,2279.67,,,,,0,,,,,,0,2/25/18,16561.56,1,1,5,,,,,,mass 4 taken in pm,
67,25.10_para_40.3_67,para,25,10,40,3,,1/28/18,2/2/18,11:40,1,,2/2/18,58.6,2/2/18,11:49,13:00,1:20,2/4/18,19:30,2/6/18,366.86,2/11/18,2532.24,,,,,0,,,,,,0,2/25/18,15333.29,1,1,5,,,,,,mass 4 taken in pm,
68,25.10_para_42.3_68,para,25,10,42,3,,1/28/18,2/2/18,11:55,1,,2/2/18,58.63,2/2/18,12:08,13:00,1:05,2/4/18,19:30,2/5/18,222.01,2/10/18,1177.98,,,,,0,,,,,,0,2/24/18,14753.5,1,1,5,,,,,,mass 4 taken in pm,
69,25.10_para_40.4_69,para,25,10,40,4,,1/28/18,2/2/18,12:12,1,,2/2/18,69.65,2/2/18,12:22,13:00,0:48,2/5/18,19:20,2/5/18,298.35,2/9/18,2016.14,,,,,0,,,,,,0,2/23/18,22101.96,1,1,5,,,,,,mass 4 and 5 taken in pm,
70,25.10_para_42.4_70,para,25,10,42,4,,1/28/18,2/2/18,12:25,1,,2/2/18,56.33,2/2/18,12:35,13:00,0:35,2/5/18,19:20,2/5/18,280.81,2/9/18,1694.97,,,,,0,,,,,,0,,,,,,,,,1,,horn bled at ovp. mass 5 taken in pm. wandered 2/15/18. Frozen for dissection,
71,25.10_para_40.1_71,para,25,10,40,1,,1/28/18,2/2/18,10:43,1,,2/2/18,70.32,2/2/18,10:52,13:00,2:17,2/2/18,19:10,2/5/18,261.58,2/10/18,1236.61,2/16/18,5,0,2465.83,6,6,0,2/22/18,6,,6,,,,,,,,,,,mass 4 taken in pm,
72,25.10_para_42.1_72,para,25,10,42,1,2/23/18,1/28/18,2/2/18,10:56,1,,2/2/18,64.65,2/2/18,11:07,13:00,2:04,2/2/18,19:10,2/6/18,101.48,2/13/18,260.19,,,,,0,,,,,,0,,,,,,,,,,,mass 4 and 5 taken in pm. removed cuticle from 5th prolegs after molt to 5th. unable to shead any of it's cuticle or head cap when molting into 6th,
73,25.10_para_40.2_73,para,25,10,40,2,,1/28/18,2/2/18,11:13,1,,2/2/18,51.63,2/2/18,11:24,13:00,1:47,2/3/18,18:05,2/6/18,175.92,2/11/18,1497.96,,,,,0,,,,,,0,2/25/18,10611.79,1,0,5,,,,,,mass 4 taken in pm,
74,25.10_para_42.2_74,para,25,10,42,2,,1/28/18,2/2/18,11:27,1,,2/2/18,57.97,2/2/18,11:36,13:00,1:33,2/3/18,18:05,2/5/18,294.82,2/10/18,1622.42,,,,,0,,,,,,0,2/24/18,15792.77,1,1,5,,,,,,mass 4 taken in pm,
75,25.10_para_40.3_75,para,25,10,40,3,,1/28/18,2/2/18,11:38,1,,2/2/18,54.53,2/2/18,11:49,13:00,1:22,2/4/18,19:30,2/5/18,339.95,2/9/18,1653.97,,,,,0,,,,,,0,2/23/18,17035.67,1,1,5,,,,,,mass 4 and 5 taken in pm,
76,25.10_para_42.3_76,para,25,10,42,3,,1/28/18,2/2/18,11:54,1,,2/2/18,55.12,2/2/18,12:08,13:00,1:06,2/4/18,19:30,2/5/18,246.1,2/11/18,1921.63,,,,,0,,,,,,0,2/25/18,13639.42,1,0,5,,,,,,mass 4 taken in pm,
77,25.10_para_40.4_77,para,25,10,40,4,,1/28/18,2/2/18,12:11,2,,2/2/18,57.56,2/2/18,12:22,13:00,0:49,2/5/18,19:20,2/5/18,301.09,2/10/18,1238.72,,,,,0,,,,,,0,2/24/18,4403.46,1,0,5,,,,,,mass 4 taken in pm,
78,25.10_para_42.4_78,para,25,10,42,4,,1/28/18,2/2/18,12:25,1,,2/2/18,51.13,2/2/18,12:35,13:00,0:35,2/5/18,19:20,2/7/18,188.71,2/13/18,512.14,,,,,0,,,,,,0,2/27/18,977.95,1,0,5,,,,,,mass 4 and 5 taken in pm,
79,25.10_para_40.1_79,para,25,10,40,1,,1/28/18,2/2/18,10:42,1,,2/2/18,53.08,2/2/18,10:52,13:00,2:18,2/2/18,19:10,2/6/18,248.01,,,2/16/18,4,0,882.99,9,8,1,2/22/18,6,,9,,,,,,,,,,,mass 4 taken in pm,
80,25.10_para_42.1_80,para,25,10,42,1,,1/28/18,2/2/18,10:55,1,,2/2/18,44.34,2/2/18,11:07,13:00,2:05,2/2/18,19:10,2/5/18,195.18,2/9/18,1129.06,,,,,0,,,,,,0,2/23/18,3679.24,1,0,5,,,,,,mass 4 and 5 taken in pm,
81,25.10_para_40.2_81,para,25,10,40,2,2/21/18,1/28/18,2/2/18,11:11,1,,2/2/18,75.83,2/2/18,11:24,13:00,1:49,2/3/18,18:05,2/6/18,305.09,2/12/18,1494.38,,,,,0,,,,,,0,,,,,,,,,,,mass 4 taken in pm,
82,25.10_para_42.2_82,para,25,10,42,2,,1/28/18,2/2/18,11:26,1,,2/2/18,43.82,2/2/18,11:36,13:00,1:34,2/3/18,18:05,2/5/18,227.56,2/9/18,1087.55,,,,,0,,,,,,0,2/23/18,12084.72,1,0,5,,,,,,mass 4 and 5 taken in pm,
83,25.10_para_40.3_83,para,25,10,40,3,,1/28/18,2/2/18,11:38,1,,2/2/18,51.1,2/2/18,11:49,13:00,1:22,2/4/18,19:30,2/5/18,262.7,2/9/18,1091.19,,,,,0,,,,,,0,2/23/18,16275.29,1,1,5,,,,,,mass 4 and 5 taken in pm,
84,25.10_para_42.3_84,para,25,10,42,3,,1/28/18,2/2/18,11:53,1,,2/2/18,66.04,2/2/18,12:08,13:00,1:07,2/4/18,19:30,2/5/18,289.07,2/9/18,1452.3,,,,,0,,,,,,0,2/23/18,15842.39,1,1,5,,,,,,mass 4 and 5 taken in pm,
85,25.10_para_40.4_85,para,25,10,40,4,,1/28/18,2/2/18,12:10,1,,2/2/18,68.03,2/2/18,12:22,13:00,0:50,2/5/18,19:20,2/5/18,98.92,2/10/18,372.32,,,,,0,,,,,,0,2/24/18,1733.1,1,0,6,,,,,,head capsule damaged at ovp. mass at 4th weighed pm. molted to 6th instar 2/18/18. Mass: 1153.35. removed cuticle from 4-5th prolegs after molt to 6th,
86,25.10_para_42.4_86,para,25,10,42,4,,1/28/18,2/2/18,12:23,1,,2/2/18,77.78,2/2/18,12:35,13:00,0:37,2/5/18,19:20,2/5/18,220.6,2/9/18,952.27,,,,,0,,,,,,0,2/23/18,13958.22,1,0,5,,,,,,mass 4 and 5 taken in pm,
87,25.10_para_40.2_87,para,25,10,40,2,2/4/18,1/28/18,2/2/18,11:10,1,,2/2/18,32.75,2/2/18,11:24,13:00,1:50,2/3/18,18:05,,,,,,,,,0,,,,,,0,,,,,,,,,,,,
